,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
1771,Yonex_All_England_Open,2022-03-16,England,WD,4,0,35,Japan,India,"Rin Iwanaga, Kie Nakanishi",,"Ashwini Ponnappa, Reddy Sikki",,21,9,21.0,13.0,,,42,22,2,0,4,0,5,3,1,0,1
1772,Yonex_All_England_Open,2023-03-14,England,MD,6,0,57,Malaysia,Chinesetaipei,"Ong Yew Sin, Teo Ee Yi",8.0,"Lee Yang, Wang Chi-Lin",,12,21,21.0,16.0,21.0,18.0,54,55,2,1,3,3,5,5,3,6,1
1773,Yonex_All_England_Open,2023-03-18,England,WD,4,0,46,Korea,India,"Baek Ha Na, Lee So Hee",,"Treesa Jolly, Gayatri Gopichand Pullela",,21,10,21.0,10.0,,,42,20,2,0,2,0,8,3,2,1,1
1774,Petronas_Malaysia_Open,2023-01-11,Malaysia,MS,4,0,46,China,China,Zhao Jun Peng,,Lu Guang Zu,,21,17,21.0,16.0,,,42,33,2,0,2,0,5,5,1,3,1
1775,Yonex_All_England_Open,2023-03-16,England,WS,4,0,43,Indonesia,Thailand,Gregoria Mariska Tunjung,,Lalinrat Chaiwan,,21,11,21.0,19.0,,,42,30,2,0,2,0,8,7,5,1,1
1776,Yonex_All_England_Open,2023-03-17,England,MD,6,0,60,China,Indonesia,"Liang Wei Keng, Wang Chang",,"Leo Rolly Carnando, Daniel Marthin",,13,21,21.0,19.0,21.0,18.0,55,58,2,1,4,1,5,6,2,1,1
1777,Yonex_All_England_Open,2023-03-15,England,MD,6,0,60,Indonesia,Malaysia,"Leo Rolly Carnando, Daniel Marthin",,"Aaron Chia, Soh Wooi Yik",2.0,21,18,14.0,21.0,21.0,13.0,56,52,2,1,2,3,7,5,3,5,1
1778,Petronas_Malaysia_Open,2023-01-12,Malaysia,WS,6,0,67,Denmark,Japan,Mia Blichfeldt,,Aya Ohori,,21,17,19.0,21.0,21.0,14.0,61,52,2,1,2,2,6,5,1,0,1
1779,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,6,0,58,Japan,Korea,Aya Ohori,,Sim Yu Jin,,21,9,14.0,21.0,21.0,14.0,56,44,2,1,2,3,5,3,2,1,1
1780,Yonex_All_England_Open,2023-03-18,England,XD,6,0,60,China,Indonesia,"Zheng Si Wei, Huang Ya Qiong",1.0,"Rehan Naufal Kusharjanto, Lisa Ayu Kusumawati",,21,17,13.0,21.0,21.0,13.0,55,51,2,1,2,1,5,7,5,0,1
1781,Yonex_All_England_Open,2023-03-14,England,MS,4,0,49,India,Chinesetaipei,Lakshya Sen,,Chou Tien Chen,5.0,21,18,21.0,19.0,,,42,37,2,0,3,0,5,5,2,3,1
1782,Yonex_All_England_Open,2020-03-11,England,MD,6,0,66,Japan,Korea,"Takuro Hoki, Yugo Kobayashi",,"Choi Sol Gyu, Seo Seung Jae",,24,22,19.0,21.0,21.0,19.0,64,62,2,1,0,0,0,0,2,2,1
1783,Yonex_All_England_Open,2023-03-17,England,WS,4,0,56,China,Indonesia,Chen Yu Fei,4.0,Gregoria Mariska Tunjung,,24,22,23.0,21.0,,,47,43,2,0,5,2,3,6,10,3,1
